,organisation,effectif
706,national research institute,1
707,national olympic committee,1
708,national bank,1
709,national art academy,1
710,national archives,1
711,ministry of the polish people's republic,1
712,ministry of the gdr,1
713,ministry of the colonies,1
714,ministry of health,1
715,ministry of finland,1
716,peacekeeping mission,1
717,patriotic society,1
718,patent office,1
719,patent court,1
720,parliamentary committee of inquiry,1
721,parliament building,1
722,parachurch organization,1
723,palazzo,1
724,music school,1
725,music college,1
726,municipality of jordan,1
727,ministry of communications,1
728,minister,1
729,military unit branch-type class,1
730,military training facility,1
731,military infantry school,1
732,polish resistance movement in world war ii,1
733,police college,1
734,place of gestapo terror,1
735,piarist school building,1
736,philatelic organization,1
737,pharmacy school,1
738,pesantren,1
739,mixed-sex education,1
740,mixed choir,1
741,ministry-owned university,1
742,ministry of war,1
743,marines,1
744,madrasa,1
745,läroverk,1
746,lycée-collège,1
747,princely state,1
748,pontifical institute,1
749,pontifical academy,1
750,political party in germany,1
751,military association,1
752,metropolitan municipality in turkey,1
753,metaorganization,1
754,mendicant order,1
755,memory institution,1
756,megacity,1
757,medical university,1
758,ministry of education,1
759,lower house of u.s. state legislature,1
760,licensing board,1
761,legislature of a u.s. state,1
762,legislative bureau,1
763,professional services network,1
764,profession,1
765,production team,1
766,private security company,1
767,private hochschule,1
768,printing company,1
769,medical facility,1
770,media company,1
771,mausoleum,1
772,mass media,1
773,masonic lodge,1
774,maritime college,1
775,israeli government ministry,1
776,landtag,1
777,landeskirche,1
778,land court,1
779,kriegsakademie,1
780,public organisation in hong kong,1
781,public inquiry,1
782,public building,1
783,public broadcaster,1
784,public benefit organization,1
785,public authority,1
786,province of the netherlands,1
787,prosecutor,1
788,legislative branch agency,1
789,lawyers' association,1
790,law library,1
791,island country,1
792,international financial institution,1
793,intermediate appellate court,1
794,intentional community,1
795,q1802087,1
796,q1595131,1
797,q15063568,1
798,q1299593,1
799,q105968869,1
800,public security ministry,1
801,public research institution in germany,1
802,public prosecutors office (japan),1
803,jurisdiction,1
804,junior college,1
805,judenrat,1
806,jewish organization,1
807,house of commons,1
808,holding company,1
809,historical country,1
810,historical commission for eastern europe,1
811,rail vehicle manufacturer,1
812,q5789562,1
813,q55658194,1
814,q42058997,1
815,q4158616,1
816,q27999366,1
817,q2782287,1
818,q2009063,1
819,q1981640,1
820,insurance broker,1
821,institutions of constitutional importance,1
822,incorporated society,1
823,research center,1
824,heritage society,1
825,handel society,1
826,han school,1
827,gymnasium (bavaria),1
828,republic,1
829,representative assembly,1
830,religious complex,1
831,regional council of new zealand,1
832,realschule,1
833,real estate company,1
834,higher center for theological studies,1
835,high public prosecutors office,1
836,high people's court,1
837,housing ministry,1
838,house of lords,1
839,group of humans,1
840,graduating class,1
841,graduate university,1
842,grade of an order,1
843,governor-general,1
844,government program,1
845,government of the federal republic of germany,1
846,russian general jurisdiction court,1
847,running club,1
848,royal house,1
849,roman catholic metropolitan archdiocese,1
850,roadside assistance,1
851,riksdag,1
852,retail bank,1
853,restaurant chain,1
854,residential colleges of yale university,1
855,foreigners' school,1
856,food manufacturer,1
857,fonds,1
858,scientific journal,1
859,school system,1
860,school of pedagogy,1
861,school of education,1
862,school network,1
863,school district in the united states,1
864,general staff,1
865,gendarmerie,1
866,galician political party,1
867,führerpartei,1
868,free imperial city,1
869,gorsedd,1
870,gymnasieskola,1
871,art collection,1
872,flight school,1
873,first order,1
874,field operating agency,1
875,felibrean school,1
876,federal police,1
877,federal office,1
878,service club,1
879,senioren-convent,1
880,self-regulatory organization,1
881,secret service,1
882,sea rescue organization,1
883,fraternal order,1
884,foundation school,1
885,former political party,1
886,former capital,1
887,faculty of history,1
888,facility and other organ,1
889,executive board,1
890,sovereign state,1
891,society,1
892,sociedad económica de amigos del país,1
893,social democratic party,1
894,social court,1
895,skyscraper,1
896,single-sex school,1
897,single-sex education,1
898,shock troops,1
899,federal ministry in germany,1
900,arts venue,1
901,arts educational institution,1
902,arts association,1
903,environmental organization,1
904,environment ministry,1
905,employer,1
906,electoral list,1
907,elective office,1
908,staatscommissie,1
909,staatsanwaltschaft,1
910,sports venue,1
911,sports club,1
912,sportgymnasium,1
913,specialized school,1
914,specialized higher education institution,1
915,federal agency of germany,1
916,family court,1
917,faculty of science,1
918,faculty of humanities,1
919,duplicate entry,1
920,drama school,1
921,dormitory,1
922,state police headquarter,1
923,state media,1
924,state government in germany,1
925,state committee of the soviet union,1
926,state bank,1
927,state archives,1
928,state agency of california,1
929,examination board,1
930,euthanasia centre in nazi germany,1
931,ethics council,1
932,estates assembly,1
933,esperanto club,1
934,episcopal conference,1
935,directorate-general of the european commission,1
936,dicastery,1
937,development bank,1
938,destination marketing organization,1
939,department of corrections,1
940,summary court,1
941,subsidiary,1
942,subcommittee,1
943,student group,1
944,stubengesellschaft,1
945,stock exchange,1
946,statutory authority,1
947,educational program,1
948,economic activity,1
949,east india company,1
950,dār al-ʿulūm,1
951,decentralised agency of the european union,1
952,data protection authority,1
953,danish investigative commission,1
954,cultural heritage ensemble,1
955,television station,1
956,television program,1
957,technology ministry,1
958,technical school,1
959,teaching hospital,1
960,tax court,1
961,systematic internaliser,1
962,syndicate,1
963,summer camp program,1
964,district court in the czech republic,1
965,discussion group,1
966,disability rights organization,1
967,courts of england and wales,1
968,courts of appeal of romania,1
