,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
5480,http://www.wikidata.org/entity/Q7351646,Roberto Clemente Community Academy,high school,educational institution,1
5478,http://www.wikidata.org/entity/Q7347821,Robert Morris University,private not-for-profit educational institution | university,university,1
917,http://www.wikidata.org/entity/Q12885779,Parnassos Literary Society,art collection | literary society,learned society,1
916,http://www.wikidata.org/entity/Q128831,Federal Communications Commission,independent agency of the united states government | regulatory agency,company or gov. agency,1
915,http://www.wikidata.org/entity/Q128781,Wehrmacht,armed forces,not classified organisation,1
914,http://www.wikidata.org/entity/Q1287680,Catholic University of Church Music St. Gregorius,church college | college of music,educational institution,1
912,http://www.wikidata.org/entity/Q1287034,Hungarian University of Sports Science,university,university,1
911,http://www.wikidata.org/entity/Q1286330,KaV Marco-Danubia Wien,studentenverbindung,not classified organisation,1
909,http://www.wikidata.org/entity/Q1285252,University of Alaska Anchorage,public educational institution of the united states | public university,public university,1
908,http://www.wikidata.org/entity/Q1285073,Militant League for German Culture,eingetragener verein | political movement,not classified organisation,1
906,http://www.wikidata.org/entity/Q1284960,Edith Cowan University,public university,public university,1
905,http://www.wikidata.org/entity/Q12849063,Institute of Law and Human Rights of Azerbaijan,educational institution,educational institution,1
5499,http://www.wikidata.org/entity/Q7373771,Royal Automobile Association of South Australia,insurance broker | motor club | private security company | roadside assistance | travel agency,company or gov. agency,1
5497,http://www.wikidata.org/entity/Q737332,Ben-Gurion University of the Negev,university,university,1
5496,http://www.wikidata.org/entity/Q7371123,Round Rock High School,high school,educational institution,1
5494,http://www.wikidata.org/entity/Q7369626,Ross Sheppard High School,high school,educational institution,1
899,http://www.wikidata.org/entity/Q1282309,Shevchenko Transnistria State University,university,university,1
898,http://www.wikidata.org/entity/Q1282089,Econometric Society,learned society | open-access publisher | scientific society,learned society,1
897,http://www.wikidata.org/entity/Q1281302,International Federation of Resistance Fighters – Association of Anti-Fascists,antifascist organization | metaorganization | veterans' organization,not classified organisation,1
889,http://www.wikidata.org/entity/Q1277967,Collegium Seraphicum - Rome,catholic seminary | catholic theological faculty | pontifical university,university,1
888,http://www.wikidata.org/entity/Q1277776,East Carolina University,public educational institution of the united states | public research university,university,1
887,http://www.wikidata.org/entity/Q127714718,Nos Services Publics,nonprofit organization,scientific organisation,1
5493,http://www.wikidata.org/entity/Q7368786,Roseworthy Agricultural College,agricultural college,educational institution,1
5492,http://www.wikidata.org/entity/Q7368476,Rosemont College,private not-for-profit educational institution | school,educational institution,1
5490,http://www.wikidata.org/entity/Q73653251,Province Court of Tarragona,province court of spain,not classified organisation,1
5488,http://www.wikidata.org/entity/Q7359290,Rogers High School,high school,educational institution,1
5487,http://www.wikidata.org/entity/Q7357563,Roedean School,boarding school | girls' school | independent school,educational institution,1
5486,http://www.wikidata.org/entity/Q7357505,Rodyk & Davidson,law firm,not classified organisation,1
870,http://www.wikidata.org/entity/Q1267684,Hessisches Landesarbeitsgericht,q1802087,not classified organisation,1
5524,http://www.wikidata.org/entity/Q7391233,SMK Sultan Yussuf,school,educational institution,1
5523,http://www.wikidata.org/entity/Q7390511,School for International Training,graduate school | private not-for-profit educational institution,educational institution,1
5520,http://www.wikidata.org/entity/Q7384965,Rye High School,high school,educational institution,1
5519,http://www.wikidata.org/entity/Q7384958,Rye College,academy school | secondary school,educational institution,1
5518,http://www.wikidata.org/entity/Q7383390,Ruthin School,boarding school | day school | independent school | secondary school,educational institution,1
5517,http://www.wikidata.org/entity/Q7382826,Rutgers University–New Brunswick,land-grant university | public educational institution of the united states | university campus,university,1
5512,http://www.wikidata.org/entity/Q7380958,Ruskin High School,high school,educational institution,1
5508,http://www.wikidata.org/entity/Q7374657,Royal Ottawa Mental Health Centre,hospital,not classified organisation,1
5507,http://www.wikidata.org/entity/Q7374541,Royal Naval School,boarding school,educational institution,1
5506,http://www.wikidata.org/entity/Q7374250,Royal Gustavus Adolphus Academy,swedish royal academies,not classified organisation,1
5505,http://www.wikidata.org/entity/Q7374234,Royal Grammar School,charitable organization | independent school | school,educational institution,1
5504,http://www.wikidata.org/entity/Q7374230,"Royal Grammar School, Guildford",boys' school | grammar school | independent school,educational institution,1
5503,http://www.wikidata.org/entity/Q7374229,"The Royal Grammar School, High Wycombe",academy school | boarding school | boys' school | grammar school | secondary school,educational institution,1
5502,http://www.wikidata.org/entity/Q7374212,Royal Geographical Society of Australasia,learned society,learned society,1
5500,http://www.wikidata.org/entity/Q7373773,Royal Automobile Club of Australia,motor club,not classified organisation,1
5532,http://www.wikidata.org/entity/Q7401000,Saint Augustine High School,high school,educational institution,1
5531,http://www.wikidata.org/entity/Q7400183,Sailendra Sircar Vidyalaya,boys' school | higher secondary school | urban school,educational institution,1
5530,http://www.wikidata.org/entity/Q7398709,Safford High School,high school | public school,educational institution,1
5529,http://www.wikidata.org/entity/Q7397183,Sacred Heart College,secondary school,educational institution,1
5528,http://www.wikidata.org/entity/Q7397182,"Sacred Heart College, Thevara",college,educational institution,1
5527,http://www.wikidata.org/entity/Q7397173,"Sacred Heart College, Auckland",boarding school | secondary school | state-integrated school,educational institution,1
884,http://www.wikidata.org/entity/Q12759592,Serbian Learned Society,learned society,learned society,1
883,http://www.wikidata.org/entity/Q12751277,Society of Serbian Letters,learned society,learned society,1
882,http://www.wikidata.org/entity/Q12749836,Higher Military Academy of YPA,military academy,educational institution,1
881,http://www.wikidata.org/entity/Q1273836,University of North Alabama,public educational institution of the united states | public university,public university,1
880,http://www.wikidata.org/entity/Q12724352,Union National College in Focșani,school,educational institution,1
878,http://www.wikidata.org/entity/Q12721089,Asociația Magistraților din România,business,company or gov. agency,1
877,http://www.wikidata.org/entity/Q12719874,Mircea cel Bătrân Naval Academy,higher education institution | naval academy,educational institution,1
875,http://www.wikidata.org/entity/Q12714205,The Arctic University of Norway – Faculty of Law,division of an educational institution,educational institution,1
874,http://www.wikidata.org/entity/Q1270831,University of Redlands,hispanic-serving institution | private not-for-profit educational institution | university,university,1
871,http://www.wikidata.org/entity/Q1268131,International Association for Philosophy of Law and Social Philosophy,scientific society,scientific organisation,1
5555,http://www.wikidata.org/entity/Q7405747,Salpointe Catholic High School,high school,educational institution,1
5552,http://www.wikidata.org/entity/Q7404805,Salisbury School,secondary school,educational institution,1
5551,http://www.wikidata.org/entity/Q7404631,Salina Normal University,university,university,1
5549,http://www.wikidata.org/entity/Q7404114,Salem High School,high school,educational institution,1
5548,http://www.wikidata.org/entity/Q740370,Academy of Learning,learned society,learned society,1
5547,http://www.wikidata.org/entity/Q7402240,Saint Thomas More High School,high school,educational institution,1
5546,http://www.wikidata.org/entity/Q7402232,Saint Thomas Aquinas University,catholic university | open-access publisher | private university,private university,1
5545,http://www.wikidata.org/entity/Q7402227,Saint Thomas Academy,university-preparatory school,university,1
5541,http://www.wikidata.org/entity/Q7401573,Saint Joseph of the Palisades High School,high school,educational institution,1
5540,http://www.wikidata.org/entity/Q7401554,Saint Joseph College of Florida,university,university,1
5538,http://www.wikidata.org/entity/Q7401525,St. Joseph's Preparatory School,jesuit school | university-preparatory school,university,1
