,typesOrg,number,numberOrg
191,boarding school | first school | primary school | private school | university-preparatory school,34,5
192,community college | public educational institution of the united states,34,2
193,academic institution | faculty,34,2
194,grammar school,34,1
195,private not-for-profit educational institution | university | women's college,34,3
196,comprehensive university | university,33,2
197,boarding school | independent school | public school | school,33,4
198,organization | public educational institution of the united states | public research university | university | university campus,32,5
199,learned society | national academy,32,2
200,imperial university of the russian empire,31,1
201,comprehensive university | organization | public university,31,3
202,direct reporting unit | military academy | military museum | public educational institution of the united states,31,4
203,faculty | law school | university building,31,3
204,high school in south korea,31,1
205,higher education institution,30,1
206,open-access publisher | public research university | university in ontario,30,3
207,jesuit university | private university | research university,30,3
208,nonprofit organization,30,1
209,military academy,30,1
210,public research university | university,30,2
211,college of the university of cambridge,30,1
212,university-preparatory school,30,1
213,justice ministry,29,1
214,"studentenverbindung, catholic",29,1
215,law society,29,1
216,faculty | faculty of law | law school,29,3
217,comprehensive university | open-access publisher | organization | public research university,29,4
218,parliamentary assembly,29,1
219,open-access publisher | public educational institution | publishing company | university,29,4
220,academic institution | public university,28,2
221,constitutional court | court,28,2
222,public university | research university,28,2
223,boarding school | charitable organization | independent school,28,3
224,land-grant university | open-access publisher | production company | public educational institution of the united states | public research university,28,5
225,international court,27,1
226,academy of sciences,27,1
227,college | private not-for-profit educational institution | university campus,27,3
228,land-grant university | open-access publisher | public educational institution of the united states | university,27,4
229,campus university | public university,27,2
230,open-access publisher | private not-for-profit educational institution | research institute | university,27,4
231,academy of sciences | learned society | national academy | open-access publisher | organization | publishing company,26,6
232,college | open-access publisher | private not-for-profit educational institution | university,26,4
233,u.s. state supreme court,26,1
234,501(c)(3) organization | group of structures or buildings | private not-for-profit educational institution | private university | research university,26,5
235,gymnasium in germany,25,1
236,private not-for-profit educational institution | school,25,2
237,open-access publisher | public educational institution of the united states | public university,25,3
238,open-access publisher | state university system | university,25,3
239,land-grant university | public educational institution of the united states | public university,25,3
240,legislative term of the national assembly of bulgaria,25,1
241,collection | public educational institution of the united states | university,25,3
242,selective school,24,1
243,national university | open-access publisher | research university,24,3
244,cultural property | heritage site | open-access publisher | public research university,24,4
245,residential college,24,1
246,altherrenverein | schülerverbindung | studentenverbindung,23,3
247,gentlemen's club,23,1
248,public university | publishing company,23,2
249,educational organization | higher education institution | public university,22,3
250,open-access publisher | public research university | university | university in british columbia,22,4
251,academic publisher | grand établissement | grande école | organization | public university,22,5
252,open-access publisher | organization | university,22,3
253,academy | national academy,22,2
254,boarding school | high school | school,22,3
255,comprehensive university | open-access publisher | public research university,22,3
256,open-access publisher | public educational institution of the united states | university,22,3
257,academy | charitable organization | organization,22,3
258,pontifical university,21,1
259,political organization,21,1
260,graduate school | law school,21,2
261,human | person,21,2
262,national university | research university,21,2
263,boarding school | independent school | school building,21,3
264,educational organization | open-access publisher | public research university,20,3
265,college | public educational institution of the united states,20,2
266,q965287,20,1
267,nonprofit organization | voluntary association,20,2
268,seminary,20,1
269,autonomous university | open-access publisher | organization | research university,20,4
270,historically black college or university | land-grant university | public educational institution of the united states | public university,20,4
271,academy of sciences | collection | national academy,20,3
272,liberal arts college | private not-for-profit educational institution | private university,19,3
273,legislative term,19,1
274,open-access publisher | public research university | public university | research university | university in ontario,19,5
275,land-grant university | public educational institution of the united states | public research university | sea grant institution | space grant institution,19,5
276,liberal arts college in the united states | private not-for-profit educational institution | university campus,19,3
277,historically black college or university | land-grant university | public educational institution of the united states | university,19,4
278,private school,19,1
279,faculty of law | law school,19,2
280,government of german reich,18,1
281,open-access publisher | production company | public research university,18,3
282,educational organization | open-access publisher | university,18,3
283,federal university | open-access publisher,18,2
284,higher education institution | open-access publisher | public university,18,3
285,dutch district court,18,1
286,liberal arts college,18,1
287,business school | private university,18,2
288,academic publisher | open-access publisher | public university | research institute,18,4
289,university | university building,17,2
290,catholic university | university,17,2
291,land-grant university | public educational institution of the united states | public research university | university campus,17,4
292,military academy | military school | public educational institution of the united states,17,3
293,ministry,17,1
294,academic institution | educational institution | law school,17,3
295,college | liberal arts college | private not-for-profit educational institution | private university,17,4
296,oberlandesgericht,17,1
297,government body of australia | production company | public university,17,3
298,justice ministry | united states federal executive department,17,2
299,historically black college or university | private not-for-profit educational institution | university,17,3
300,open-access publisher | private not-for-profit educational institution | publishing company | university,17,4
301,academy of sciences | learned society | national academy,16,3
302,government agency | judicial council,16,2
303,boarding school | charitable organization | independent school | school,16,4
304,boarding school | school,16,2
305,land-grant university | public educational institution of the united states | public research university | sun grant institution,16,4
306,land-grant university | public educational institution of the united states | public university | research university | space grant institution,16,5
307,catholic university | open-access publisher | private not-for-profit educational institution | private university,16,4
308,administrative court,16,1
309,building | private not-for-profit educational institution | university,16,3
310,college of the university of cambridge | school building | university building,16,3
311,academy of sciences | building | language regulator | museum,16,4
312,boys' high school,16,1
313,district court,15,1
314,land-grant university | public educational institution of the united states | public university | university,15,4
315,local court (germany) | registration court,15,2
316,business | open-access publisher | university,15,3
317,open-access publisher | research university | university,15,3
318,production company | public research university | research institute,15,3
319,educational organization | open-access publisher | public university | publishing company,15,4
320,college | historically black college or university | private not-for-profit educational institution,15,3
321,academic publisher | public research university,15,2
322,educational institution | open-access publisher | public research university | university in new brunswick,15,4
323,council,15,1
324,open-access publisher | publishing company | university,15,3
325,constitutional court | supreme court,15,2
326,public research university | university in manitoba,15,2
327,"nonprofit organization | studentenverbindung, catholic",14,2
328,boarding school | boys' high school | high school | public school | secondary school,14,5
329,high school | secondary school,14,2
330,autonomous university | comprehensive academic and research university | corporation | open-access publisher | public research university,14,5
331,justice ministry | ministries of denmark,14,2
