,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
68458,http://www.wikidata.org/entity/Q4758069,http://www.wikidata.org/entity/Q5113276,Eton College|Magdalene College,2,http://www.wikidata.org/entity/Q192088|http://www.wikidata.org/entity/Q776807,1925-1949,1956.0,1967.0,1951.0,1962.0,1925-1949
68492,http://www.wikidata.org/entity/Q4758186,http://www.wikidata.org/entity/Q6396195,Fordham University|Fordham University School of Law,2,http://www.wikidata.org/entity/Q130965|http://www.wikidata.org/entity/Q5468082,1925-1949,1951.0,1962.0,1951.0,1962.0,1925-1949
68502,http://www.wikidata.org/entity/Q4758186,http://www.wikidata.org/entity/Q8009497,Fordham University|New York University School of Law,2,http://www.wikidata.org/entity/Q130965|http://www.wikidata.org/entity/Q846173,1925-1949,1951.0,1962.0,1956.0,1967.0,1925-1949
68609,http://www.wikidata.org/entity/Q4758264,http://www.wikidata.org/entity/Q7614561,Anglo-Chinese School|National University of Singapore,2,http://www.wikidata.org/entity/Q4763600|http://www.wikidata.org/entity/Q738236,1950-1974,1975.0,1986.0,1975.0,1986.0,1950-1974
68611,http://www.wikidata.org/entity/Q4758264,http://www.wikidata.org/entity/Q7639265,National University of Singapore|Harvard Law School,2,http://www.wikidata.org/entity/Q738236|http://www.wikidata.org/entity/Q49122,1950-1974,1975.0,1986.0,1980.0,1991.0,1950-1974
68616,http://www.wikidata.org/entity/Q4758264,http://www.wikidata.org/entity/Q7906078,Anglo-Chinese School|National University of Singapore,2,http://www.wikidata.org/entity/Q4763600|http://www.wikidata.org/entity/Q738236,1950-1974,1975.0,1986.0,1975.0,1986.0,1950-1974
68618,http://www.wikidata.org/entity/Q4758264,http://www.wikidata.org/entity/Q8032119,Anglo-Chinese School|National University of Singapore,2,http://www.wikidata.org/entity/Q4763600|http://www.wikidata.org/entity/Q738236,1950-1974,1975.0,1986.0,1972.0,1983.0,1950-1974
68634,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q5213045,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1969.0,1980.0,1950-1974
68644,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q5441014,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1962.0,1973.0,1925-1949
68678,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q7287525,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1972.0,1983.0,1950-1974
68683,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q733612,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1971.0,1982.0,1950-1974
68688,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q7348249,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1969.0,1980.0,1950-1974
68697,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q7648092,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1969.0,1980.0,1950-1974
68704,http://www.wikidata.org/entity/Q4758475,http://www.wikidata.org/entity/Q8009316,Harvard Law School|Harvard College,2,http://www.wikidata.org/entity/Q49122|http://www.wikidata.org/entity/Q49123,1925-1949,1966.0,1977.0,1968.0,1979.0,1950-1974
68796,http://www.wikidata.org/entity/Q4762217,http://www.wikidata.org/entity/Q5082402,Tulane University|Tulane University Law School,2,http://www.wikidata.org/entity/Q1193547|http://www.wikidata.org/entity/Q14691855,1900-1924,1936.0,1947.0,1940.0,1951.0,1900-1924
68797,http://www.wikidata.org/entity/Q4762217,http://www.wikidata.org/entity/Q5495579,Tulane University|Tulane University Law School,2,http://www.wikidata.org/entity/Q1193547|http://www.wikidata.org/entity/Q14691855,1900-1924,1936.0,1947.0,1936.0,1947.0,1900-1924
